class,name,ja_name
1,sarina_ushio,潮 紗理菜
1,yuka_kageyama,影山 優佳
1,shiho_kato,加藤 志帆
1,kyoko_saito,斎藤 京子
1,kumi_sasaki,佐々木 久美
1,mirei_sasaki,佐々木 美玲
1,mana_takase,高瀬 愛奈
1,ayaka_takamoto,高本 彩花
1,mei_higashimura,東村 芽衣
2,miku_kanemura,金村 美玖
2,hina_kawata,河田 陽菜
2,nao_kosaka,小坂 菜緒
2,suzuka_tomita,富田 鈴花
2,akari_nibu,丹生 明里
2,hiyori_hamagishi,濱岸 ひより
2,konoka_matsuda,松田 好花
2,manamo_miyata,宮田 愛萌
2,miho_watanabe,渡邉 美穂
3,hinano_kamimura,上村 ひなの
3,mikuni_takahashi,高橋 未来虹
3,mari_morimoto,森本 茉莉
3,haruyo_yamaguti,山口 陽世
